ID,Sex,Age
S20-1-0217,2,35
S20-1-0218,1,21
S20-1-0219,2,12
S20-1-0220,2,38
S20-1-0221,1,16
S20-1-0222,2,51
S20-1-0223,1,50
S20-1-0224,2,45
S20-1-0225,2,23
S20-1-0226,1,57
S20-1-0227,2,66
S20-1-0228,1,38
S20-1-0229,1,14
S20-1-0230,2,49
S20-1-0231,1,49
S20-1-0232,1,50
S20-1-0233,2,21
S20-1-0234,2,48
S20-1-0235,2,42
S20-1-0236,2,40
S20-1-0237,2,21
S20-1-0238,1,21
S20-1-0239,2,28
S20-1-0240,1,33
S20-1-0241,2,57
S20-1-0242,2,54
S20-1-0243,2,77
S20-1-0244,2,45
S20-1-0245,1,45
S20-1-0246,1,40
S20-1-0247,2,60
S20-1-0248,2,52
S20-1-0249,1,38
S20-1-0250,2,31
S20-1-0251,1,20
S20-1-0252,1,46
S20-1-0253,1,22
S20-1-0254,2,17
S20-1-0255,2,49
S20-1-0256,1,49
S20-1-0257,2,60
S20-1-0258,1,20
S20-1-0259,2,17
S20-1-0260,2,38
S20-1-0261,2,67
S20-1-0262,2,47
S20-1-0263,1,26
S20-1-0264,2,26
S20-1-0265,1,22
S20-1-0266,2,32
S20-1-0267,2,50
S20-1-0268,1,14
S20-1-0269,2,24
S20-1-0270,1,44
S20-1-0271,2,29
S20-1-0272,2,42
S20-1-0273,1,27
S20-1-0274,2,33
S20-1-0275,2,34
S20-1-0276,2,50
S20-1-0277,1,28
S20-1-0278,1,45
S20-1-0279,1,52
S20-1-0280,2,26
S20-1-0281,2,50
S20-1-0282,2,37
S21-1-0001,1,27
S21-1-0002,1,48
S21-1-0003,1,43
S21-1-0004,2,24
S21-1-0005,1,26
S21-1-0006,2,57
S21-1-0007,2,30
S21-1-0008,2,28
S21-1-0009,1,47
S21-1-0010,2,30
S21-1-0011,2,34
S21-1-0012,1,32
S21-1-0013,2,42
S21-1-0014,2,48
S21-1-0015,2,36
S21-1-0016,1,20
S21-1-0017,2,22
S21-1-0018,2,52
S21-1-0019,1,52
S21-1-0020,2,36
S21-1-0021,2,18
S21-1-0022,1,48
S21-1-0023,2,28
S21-1-0024,1,20
S21-1-0025,1,22
S21-1-0026,1,58
S21-1-0027,2,26
S21-1-0028,2,28
S21-1-0029,1,24
S21-1-0030,1,30
S21-1-0031,2,65
S21-1-0032,2,24
S21-1-0033,1,19
S21-1-0034,2,18
S21-1-0035,1,22
S21-1-0036,2,30
S21-1-0037,2,24
S21-1-0038,2,23
S21-1-0039,1,26
S21-1-0040,1,28
S21-1-0041,1,49
S21-1-0042,1,21
S21-1-0043,2,35
S21-1-0044,1,29
S21-1-0045,1,41
S21-1-0046,1,43
S21-1-0047,2,36
S21-1-0048,1,24
S21-1-0049,2,61
S21-1-0050,2,20
S21-1-0051,2,31
S21-1-0052,2,21
S21-1-0053,1,27
S21-1-0054,2,40
S21-1-0055,1,50
S21-1-0056,1,61
S21-1-0057,2,46
S21-1-0058,1,56
S21-1-0059,1,52
S21-1-0060,1,31
S21-1-0061,1,23
S21-1-0062,2,49
S21-1-0063,2,33
S21-1-0064,2,29
S21-1-0065,2,21
S21-1-0066,1,41
S21-1-0067,2,44
S21-1-0068,2,43
S21-1-0069,1,19
S21-1-0070,2,29
S21-1-0071,1,30
S21-1-0072,2,19
S21-1-0073,1,22
S21-1-0074,1,31
S21-1-0075,2,20
S21-1-0076,2,57
S21-1-0077,2,31
S21-1-0078,2,20
S21-1-0079,2,42
S21-1-0080,1,38
S21-1-0081,1,28
S21-1-0082,2,32
S21-1-0083,2,45
S21-1-0084,2,64
S21-1-0085,2,41
S21-1-0086,2,45
S22-1-0001,1,31
S22-1-0002,1,51
S22-1-0003,2,47
S22-1-0004,2,43
S22-1-0005,2,36
S22-1-0006,1,43
S22-1-0007,1,26
S22-1-0008,2,18
S22-1-0009,1,29
S22-1-0010,2,43
S22-1-0011,2,26
S22-1-0012,2,41
S22-1-0013,1,28
S22-1-0014,1,30
S22-1-0015,2,40
S22-1-0016,1,19
S22-1-0017,1,19
S22-1-0018,1,42
S22-1-0019,2,22
S22-1-0020,1,31
S22-1-0021,2,49
S22-1-0022,1,47
S22-1-0023,2,17
S22-1-0024,2,27
S22-1-0025,2,38
S22-1-0026,2,46
S22-1-0027,1,27
S22-1-0028,2,40
S22-1-0029,2,23
S22-1-0030,1,28
S23-1-0001,1,17
S23-1-0002,2,21
S23-1-0003,1,26
S23-1-0004,2,43
S23-1-0005,1,20
S23-1-0006,2,51
S23-1-0007,2,42
S23-1-0008,1,20
S23-1-0009,1,26
S23-1-0010,2,16
S23-1-0011,1,26
S23-1-0012,2,34
S23-1-0013,2,16
S23-1-0014,1,25
S23-1-0015,1,20
S23-1-0016,1,23
S23-1-0017,1,24
S23-1-0018,1,23
S23-1-0019,2,26
S23-1-0020,2,21
S23-1-0021,1,40
S23-1-0022,2,19
S23-1-0023,1,26
S23-1-0024,2,16
S23-1-0025,1,32
S23-1-0026,2,21
S23-1-0027,2,16
S23-1-0028,2,19
S23-1-0029,2,20
S23-1-0030,2,25
S23-1-0031,1,19
S23-1-0032,2,28
S24-1-0001,2,35
S24-1-0002,1,25
S24-1-0003,2,34
S24-1-0004,2,38
S24-1-0005,2,37
S24-1-0006,2,36
S24-1-0007,1,19
S24-1-0008,2,25
